,recall_5,precision_5,FScore_5,MeanDelay_5,recall_10,precision_10,FScore_10,MeanDelay_10,recall_15,precision_15,FScore_15,MeanDelay_15,recall_20,precision_20,FScore_20,MeanDelay_20,recall_25,precision_25,FScore_25,MeanDelay_25,recall_30,precision_30,FScore_30,MeanDelay_30,recall_35,precision_35,FScore_35,MeanDelay_35,recall_40,precision_40,FScore_40,MeanDelay_40,recall_45,precision_45,FScore_45,MeanDelay_45,recall_50,precision_50,FScore_50,MeanDelay_50,recall_55,precision_55,FScore_55,MeanDelay_55
IOR,0.0,0.0,0.0,0.0,0.1111111111111111,0.1,0.10526315789473685,25.0,0.3333333333333333,0.3,0.3157894736842105,27.666666666666668,0.4444444444444444,0.4,0.4210526315789474,29.5,0.8888888888888888,0.8,0.8421052631578948,34.25,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556
IRO,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.333333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.333333333333332,0.5555555555555556,0.5555555555555556,0.5555555555555556,22.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,24.666666666666668,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,29.875,1.0,1.0,1.0,32.55555555555556,1.0,1.0,1.0,32.55555555555556,1.0,1.0,1.0,32.55555555555556,1.0,1.0,1.0,32.55555555555556
OIR,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,20.428571428571427,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668,1.0,1.0,1.0,23.666666666666668
ORI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,31.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,33.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,37.125,0.8888888888888888,0.8888888888888888,0.8888888888888888,37.125,1.0,1.0,1.0,38.55555555555556,1.0,1.0,1.0,38.55555555555556,1.0,1.0,1.0,38.55555555555556,1.0,1.0,1.0,38.55555555555556,1.0,1.0,1.0,38.55555555555556
RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,39.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,40.6,0.7777777777777778,0.7777777777777778,0.7777777777777778,42.857142857142854,0.8888888888888888,0.8888888888888888,0.8888888888888888,44.25,0.8888888888888888,0.8888888888888888,0.8888888888888888,44.25,0.8888888888888888,0.8888888888888888,0.8888888888888888,44.25,0.8888888888888888,0.8888888888888888,0.8888888888888888,44.25
ROI,0.2222222222222222,0.2,0.2105263157894737,19.5,0.3333333333333333,0.3,0.3157894736842105,21.333333333333332,0.6666666666666666,0.6,0.631578947368421,25.333333333333332,0.8888888888888888,0.8,0.8421052631578948,27.25,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557,1.0,0.9,0.9473684210526316,28.555555555555557
cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.13333333333333333,29.0,0.1111111111111111,0.16666666666666666,0.13333333333333333,29.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,35.0,0.2222222222222222,0.3333333333333333,0.26666666666666666,35.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,42.75,0.5555555555555556,0.8333333333333334,0.6666666666666667,45.2,0.6666666666666666,1.0,0.8,47.5,0.6666666666666666,1.0,0.8,47.5,0.6666666666666666,1.0,0.8,47.5
cd,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.25,0.5555555555555556,0.5555555555555556,0.5555555555555556,25.4,1.0,1.0,1.0,42.77777777777778,1.0,1.0,1.0,42.77777777777778
cf,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,26.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,26.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,33.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,35.333333333333336,1.0,1.0,1.0,38.44444444444444,1.0,1.0,1.0,38.44444444444444,1.0,1.0,1.0,38.44444444444444,1.0,1.0,1.0,38.44444444444444,1.0,1.0,1.0,38.44444444444444,1.0,1.0,1.0,38.44444444444444
cm,0.4444444444444444,0.4,0.4210526315789474,18.5,0.6666666666666666,0.6,0.631578947368421,20.333333333333332,0.8888888888888888,0.8,0.8421052631578948,22.75,0.8888888888888888,0.8,0.8421052631578948,22.75,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778,1.0,0.9,0.9473684210526316,24.77777777777778
cp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.3157894736842105,39.333333333333336,0.5555555555555556,0.5,0.5263157894736842,41.4,0.8888888888888888,0.8,0.8421052631578948,44.375,1.0,0.9,0.9473684210526316,45.22222222222222,1.0,0.9,0.9473684210526316,45.22222222222222,1.0,0.9,0.9473684210526316,45.22222222222222,1.0,0.9,0.9473684210526316,45.22222222222222
