,recall_5,precision_5,FScore_5,MeanDelay_5,recall_10,precision_10,FScore_10,MeanDelay_10,recall_15,precision_15,FScore_15,MeanDelay_15,recall_20,precision_20,FScore_20,MeanDelay_20,recall_25,precision_25,FScore_25,MeanDelay_25,recall_30,precision_30,FScore_30,MeanDelay_30,recall_35,precision_35,FScore_35,MeanDelay_35,recall_40,precision_40,FScore_40,MeanDelay_40,recall_45,precision_45,FScore_45,MeanDelay_45,recall_50,precision_50,FScore_50,MeanDelay_50,recall_55,precision_55,FScore_55,MeanDelay_55
IOR,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.09523809523809525,23.0,0.3333333333333333,0.25,0.28571428571428575,26.333333333333332,0.5555555555555556,0.4166666666666667,0.4761904761904762,28.8,0.7777777777777778,0.5833333333333334,0.6666666666666666,31.714285714285715,0.8888888888888888,0.6666666666666666,0.761904761904762,33.25,1.0,0.75,0.8571428571428571,34.77777777777778,1.0,0.75,0.8571428571428571,34.77777777777778,1.0,0.75,0.8571428571428571,34.77777777777778,1.0,0.75,0.8571428571428571,34.77777777777778,1.0,0.75,0.8571428571428571,34.77777777777778
IRO,0.4444444444444444,0.4,0.4210526315789474,18.0,0.4444444444444444,0.4,0.4210526315789474,18.0,0.5555555555555556,0.5,0.5263157894736842,20.0,0.5555555555555556,0.5,0.5263157894736842,20.0,0.5555555555555556,0.5,0.5263157894736842,20.0,0.5555555555555556,0.5,0.5263157894736842,20.0,0.5555555555555556,0.5,0.5263157894736842,20.0,0.7777777777777778,0.7,0.7368421052631577,29.714285714285715,1.0,0.9,0.9473684210526316,36.333333333333336,1.0,0.9,0.9473684210526316,36.333333333333336,1.0,0.9,0.9473684210526316,36.333333333333336
OIR,0.5555555555555556,0.4166666666666667,0.4761904761904762,17.0,0.6666666666666666,0.5,0.5714285714285715,18.333333333333332,0.7777777777777778,0.5833333333333334,0.6666666666666666,19.857142857142858,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889,1.0,0.75,0.8571428571428571,22.88888888888889
ORI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07142857142857142,0.08695652173913043,28.0,0.2222222222222222,0.14285714285714285,0.17391304347826086,32.0,0.6666666666666666,0.42857142857142855,0.5217391304347826,36.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664,1.0,0.6428571428571429,0.782608695652174,38.666666666666664
RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,37.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,40.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,42.4,0.8888888888888888,0.8888888888888888,0.8888888888888888,46.625,1.0,1.0,1.0,48.111111111111114,1.0,1.0,1.0,48.111111111111114,1.0,1.0,1.0,48.111111111111114
ROI,0.2222222222222222,0.18181818181818182,0.19999999999999998,20.0,0.4444444444444444,0.36363636363636365,0.39999999999999997,21.25,0.5555555555555556,0.45454545454545453,0.5,22.8,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0,1.0,0.8181818181818182,0.9,28.0
cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.4,0.2857142857142857,44.5,0.2222222222222222,0.4,0.2857142857142857,44.5,0.3333333333333333,0.6,0.42857142857142855,48.0,0.4444444444444444,0.8,0.5714285714285714,50.75,0.4444444444444444,0.8,0.5714285714285714,50.75,0.4444444444444444,0.8,0.5714285714285714,50.75
cd,0.2222222222222222,0.2222222222222222,0.2222222222222222,20.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,20.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,36.5,1.0,1.0,1.0,45.77777777777778,1.0,1.0,1.0,45.77777777777778
cf,0.0,0.0,0.0,0.0,0.1111111111111111,0.1,0.10526315789473685,25.0,0.1111111111111111,0.1,0.10526315789473685,25.0,0.6666666666666666,0.6,0.631578947368421,32.333333333333336,0.7777777777777778,0.7,0.7368421052631577,33.285714285714285,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556,1.0,0.9,0.9473684210526316,35.55555555555556
cm,0.5555555555555556,0.5,0.5263157894736842,17.8,0.5555555555555556,0.5,0.5263157894736842,17.8,0.5555555555555556,0.5,0.5263157894736842,17.8,0.5555555555555556,0.5,0.5263157894736842,17.8,0.7777777777777778,0.7,0.7368421052631577,24.285714285714285,1.0,0.9,0.9473684210526316,28.333333333333332,1.0,0.9,0.9473684210526316,28.333333333333332,1.0,0.9,0.9473684210526316,28.333333333333332,1.0,0.9,0.9473684210526316,28.333333333333332,1.0,0.9,0.9473684210526316,28.333333333333332,1.0,0.9,0.9473684210526316,28.333333333333332
cp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.09999999999999999,35.0,0.3333333333333333,0.2727272727272727,0.3,38.333333333333336,0.4444444444444444,0.36363636363636365,0.39999999999999997,40.25,0.8888888888888888,0.7272727272727273,0.7999999999999999,44.875,1.0,0.8181818181818182,0.9,45.888888888888886,1.0,0.8181818181818182,0.9,45.888888888888886,1.0,0.8181818181818182,0.9,45.888888888888886,1.0,0.8181818181818182,0.9,45.888888888888886
fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,45.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,45.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,45.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,45.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,45.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,57.0
lp,0.4444444444444444,0.3333333333333333,0.380952380952381,17.75,0.5555555555555556,0.4166666666666667,0.4761904761904762,19.2,0.5555555555555556,0.4166666666666667,0.4761904761904762,19.2,0.5555555555555556,0.4166666666666667,0.4761904761904762,19.2,0.5555555555555556,0.4166666666666667,0.4761904761904762,19.2,0.5555555555555556,0.4166666666666667,0.4761904761904762,19.2,0.6666666666666666,0.5,0.5714285714285715,24.333333333333332,0.6666666666666666,0.5,0.5714285714285715,24.333333333333332,0.7777777777777778,0.5833333333333334,0.6666666666666666,29.285714285714285,1.0,0.75,0.8571428571428571,37.333333333333336,1.0,0.75,0.8571428571428571,37.333333333333336
pl,0.2222222222222222,0.2,0.2105263157894737,18.5,0.2222222222222222,0.2,0.2105263157894737,18.5,0.4444444444444444,0.4,0.4210526315789474,23.0,0.4444444444444444,0.4,0.4210526315789474,23.0,0.4444444444444444,0.4,0.4210526315789474,23.0,0.4444444444444444,0.4,0.4210526315789474,23.0,0.5555555555555556,0.5,0.5263157894736842,27.8,0.5555555555555556,0.5,0.5263157894736842,27.8,0.8888888888888888,0.8,0.8421052631578948,39.875,1.0,0.9,0.9473684210526316,42.333333333333336,1.0,0.9,0.9473684210526316,42.333333333333336
pm,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.571428571428573,0.8888888888888888,0.8888888888888888,0.8888888888888888,19.375,0.8888888888888888,0.8888888888888888,0.8888888888888888,19.375,0.8888888888888888,0.8888888888888888,0.8888888888888888,19.375,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443,1.0,1.0,1.0,21.444444444444443
re,0.0,0.0,0.0,0.0,0.2222222222222222,0.18181818181818182,0.19999999999999998,24.5,0.8888888888888888,0.7272727272727273,0.7999999999999999,28.125,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668,1.0,0.8181818181818182,0.9,28.666666666666668
rp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,39.25,0.7777777777777778,0.7777777777777778,0.7777777777777778,41.57142857142857,1.0,1.0,1.0,43.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,43.0
sw,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557,1.0,0.8181818181818182,0.9,17.555555555555557
