,recall_5,precision_5,FScore_5,MeanDelay_5,recall_10,precision_10,FScore_10,MeanDelay_10,recall_15,precision_15,FScore_15,MeanDelay_15,recall_20,precision_20,FScore_20,MeanDelay_20,recall_25,precision_25,FScore_25,MeanDelay_25,recall_30,precision_30,FScore_30,MeanDelay_30,recall_35,precision_35,FScore_35,MeanDelay_35,recall_40,precision_40,FScore_40,MeanDelay_40,recall_45,precision_45,FScore_45,MeanDelay_45,recall_50,precision_50,FScore_50,MeanDelay_50,recall_55,precision_55,FScore_55,MeanDelay_55
IOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2727272727272727,0.3,29.333333333333332,0.7777777777777778,0.6363636363636364,0.7000000000000001,32.714285714285715,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0,1.0,0.8181818181818182,0.9,34.0
IRO,0.1111111111111111,0.1111111111111111,0.1111111111111111,19.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,23.75,0.5555555555555556,0.5555555555555556,0.5555555555555556,26.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,26.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,26.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.166666666666668,0.7777777777777778,0.7777777777777778,0.7777777777777778,33.42857142857143,0.8888888888888888,0.8888888888888888,0.8888888888888888,36.5,1.0,1.0,1.0,39.333333333333336,1.0,1.0,1.0,39.333333333333336
OIR,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.333333333333332,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443,1.0,1.0,1.0,24.444444444444443
ORI,0.0,0.0,0.0,0.0,0.1111111111111111,0.1,0.10526315789473685,26.0,0.2222222222222222,0.2,0.2105263157894737,28.5,0.2222222222222222,0.2,0.2105263157894737,28.5,0.5555555555555556,0.5,0.5263157894736842,34.8,1.0,0.9,0.9473684210526316,38.55555555555556,1.0,0.9,0.9473684210526316,38.55555555555556,1.0,0.9,0.9473684210526316,38.55555555555556,1.0,0.9,0.9473684210526316,38.55555555555556,1.0,0.9,0.9473684210526316,38.55555555555556,1.0,0.9,0.9473684210526316,38.55555555555556
RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,45.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,48.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,48.857142857142854,0.8888888888888888,0.8888888888888888,0.8888888888888888,49.875,0.8888888888888888,0.8888888888888888,0.8888888888888888,49.875,0.8888888888888888,0.8888888888888888,0.8888888888888888,49.875
ROI,0.3333333333333333,0.3,0.3157894736842105,18.666666666666668,0.5555555555555556,0.5,0.5263157894736842,20.8,0.8888888888888888,0.8,0.8421052631578948,24.25,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222,1.0,0.9,0.9473684210526316,25.22222222222222
cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5,0.30769230769230765,48.0,0.2222222222222222,0.5,0.30769230769230765,48.0,0.4444444444444444,1.0,0.6153846153846153,53.0,0.4444444444444444,1.0,0.6153846153846153,53.0,0.4444444444444444,1.0,0.6153846153846153,53.0
cd,0.3333333333333333,0.3,0.3157894736842105,19.666666666666668,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.4,0.4210526315789474,21.0,0.5555555555555556,0.5,0.5263157894736842,28.2,1.0,0.9,0.9473684210526316,44.44444444444444,1.0,0.9,0.9473684210526316,44.44444444444444
cf,0.0,0.0,0.0,0.0,0.1111111111111111,0.09090909090909091,0.09999999999999999,26.0,0.2222222222222222,0.18181818181818182,0.19999999999999998,28.0,0.3333333333333333,0.2727272727272727,0.3,30.333333333333332,0.7777777777777778,0.6363636363636364,0.7000000000000001,29.0,0.7777777777777778,0.6363636363636364,0.7000000000000001,29.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,31.375,0.8888888888888888,0.7272727272727273,0.7999999999999999,31.375,0.8888888888888888,0.7272727272727273,0.7999999999999999,31.375,1.0,0.8181818181818182,0.9,24.11111111111111,1.0,0.8181818181818182,0.9,24.11111111111111
cm,0.3333333333333333,0.3333333333333333,0.3333333333333333,19.333333333333332,0.8888888888888888,0.8888888888888888,0.8888888888888888,21.625,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222,1.0,1.0,1.0,22.22222222222222
cp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,43.6,1.0,1.0,1.0,45.333333333333336,1.0,1.0,1.0,45.333333333333336,1.0,1.0,1.0,45.333333333333336,1.0,1.0,1.0,45.333333333333336,1.0,1.0,1.0,45.333333333333336
fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,60.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,60.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,60.0
