,recall_0.0,precision_0.0,FScore_0.0,MeanDelay_0.0,recall_0.015,precision_0.015,FScore_0.015,MeanDelay_0.015,recall_0.03,precision_0.03,FScore_0.03,MeanDelay_0.03,recall_0.045,precision_0.045,FScore_0.045,MeanDelay_0.045,recall_0.06,precision_0.06,FScore_0.06,MeanDelay_0.06,recall_0.075,precision_0.075,FScore_0.075,MeanDelay_0.075,recall_0.09,precision_0.09,FScore_0.09,MeanDelay_0.09
IOR,0.3333333333333333,0.25,0.28571428571428575,26.333333333333332,0.1111111111111111,0.020833333333333332,0.03508771929824561,29.0,0.1111111111111111,0.014925373134328358,0.026315789473684213,21.0,0.3333333333333333,0.034482758620689655,0.0625,15.0,0.3333333333333333,0.033707865168539325,0.061224489795918366,26.333333333333332,0.3333333333333333,0.03225806451612903,0.0588235294117647,18.0,0.4444444444444444,0.042105263157894736,0.07692307692307691,15.5
IRO,0.5555555555555556,0.5,0.5263157894736842,20.0,0.4444444444444444,0.0975609756097561,0.16,20.0,0.2222222222222222,0.02631578947368421,0.047058823529411764,17.5,0.3333333333333333,0.034482758620689655,0.0625,13.666666666666666,0.4444444444444444,0.0449438202247191,0.08163265306122448,8.75,0.2222222222222222,0.021739130434782608,0.039603960396039604,18.5,0.4444444444444444,0.0425531914893617,0.07766990291262137,14.75
OIR,0.7777777777777778,0.5833333333333334,0.6666666666666666,19.857142857142858,0.5555555555555556,0.10638297872340426,0.17857142857142855,17.0,0.5555555555555556,0.07142857142857142,0.12658227848101264,21.2,0.4444444444444444,0.04938271604938271,0.08888888888888889,17.0,0.2222222222222222,0.022727272727272728,0.041237113402061855,11.5,0.4444444444444444,0.043010752688172046,0.0784313725490196,22.0,0.1111111111111111,0.010638297872340425,0.01941747572815534,25.0
ORI,0.1111111111111111,0.07142857142857142,0.08695652173913043,28.0,0.2222222222222222,0.04878048780487805,0.08,30.5,0.2222222222222222,0.027777777777777776,0.04938271604938271,14.0,0.2222222222222222,0.023255813953488372,0.042105263157894736,14.5,0.1111111111111111,0.011494252873563218,0.020833333333333332,3.0,0.2222222222222222,0.021505376344086023,0.0392156862745098,11.5,0.1111111111111111,0.010309278350515464,0.018867924528301883,25.0
RIO,0.0,0.0,0.0,0.0,0.2222222222222222,0.03636363636363636,0.0625,29.5,0.4444444444444444,0.05333333333333334,0.09523809523809523,18.75,0.2222222222222222,0.023529411764705882,0.0425531914893617,13.0,0.3333333333333333,0.03260869565217391,0.05940594059405941,20.0,0.4444444444444444,0.04395604395604396,0.08,17.5,0.4444444444444444,0.041666666666666664,0.07619047619047618,18.75
ROI,0.5555555555555556,0.45454545454545453,0.5,22.8,0.4444444444444444,0.08,0.13559322033898308,23.75,0.1111111111111111,0.015151515151515152,0.02666666666666667,31.0,0.4444444444444444,0.04819277108433735,0.08695652173913043,21.5,0.3333333333333333,0.033707865168539325,0.061224489795918366,21.0,0.3333333333333333,0.03225806451612903,0.0588235294117647,21.0,0.2222222222222222,0.021052631578947368,0.03846153846153846,5.5
cb,0.0,0.0,0.0,0.0,0.2222222222222222,0.04878048780487805,0.08,25.5,0.3333333333333333,0.046875,0.08219178082191782,12.666666666666666,0.2222222222222222,0.02631578947368421,0.047058823529411764,9.0,0.3333333333333333,0.03333333333333333,0.0606060606060606,11.333333333333334,0.4444444444444444,0.04395604395604396,0.08,20.5,0.0,0.0,0.0,0.0
cd,0.4444444444444444,0.4444444444444444,0.4444444444444444,24.5,0.3333333333333333,0.061224489795918366,0.10344827586206896,25.333333333333332,0.2222222222222222,0.028169014084507043,0.05,23.0,0.4444444444444444,0.04938271604938271,0.08888888888888889,17.25,0.2222222222222222,0.02197802197802198,0.04,29.0,0.1111111111111111,0.010869565217391304,0.019801980198019802,29.0,0.3333333333333333,0.03125,0.05714285714285714,13.0
cf,0.1111111111111111,0.1,0.10526315789473685,25.0,0.2222222222222222,0.0425531914893617,0.07142857142857142,8.0,0.4444444444444444,0.05555555555555555,0.09876543209876543,19.75,0.4444444444444444,0.05194805194805195,0.09302325581395349,14.0,0.2222222222222222,0.02127659574468085,0.03883495145631068,13.5,0.0,0.0,0.0,0.0,0.2222222222222222,0.020833333333333332,0.03809523809523809,20.5
cm,0.5555555555555556,0.5,0.5263157894736842,17.8,0.6666666666666666,0.14634146341463414,0.24,25.0,0.3333333333333333,0.03896103896103896,0.06976744186046512,21.666666666666668,0.3333333333333333,0.038461538461538464,0.06896551724137931,20.333333333333332,0.1111111111111111,0.011363636363636364,0.020618556701030927,15.0,0.2222222222222222,0.02127659574468085,0.03883495145631068,17.5,0.1111111111111111,0.010309278350515464,0.018867924528301883,28.0
