,recall_0.0,precision_0.0,FScore_0.0,MeanDelay_0.0,recall_0.015,precision_0.015,FScore_0.015,MeanDelay_0.015,recall_0.03,precision_0.03,FScore_0.03,MeanDelay_0.03,recall_0.045,precision_0.045,FScore_0.045,MeanDelay_0.045,recall_0.06,precision_0.06,FScore_0.06,MeanDelay_0.06,recall_0.075,precision_0.075,FScore_0.075,MeanDelay_0.075,recall_0.09,precision_0.09,FScore_0.09,MeanDelay_0.09
IOR,0.3333333333333333,0.2727272727272727,0.3,29.333333333333332,0.1111111111111111,0.03125,0.04878048780487805,1.0,0.4444444444444444,0.07407407407407407,0.12698412698412698,22.25,0.2222222222222222,0.034482758620689655,0.05970149253731343,20.5,0.1111111111111111,0.015151515151515152,0.02666666666666667,10.0,0.3333333333333333,0.04285714285714286,0.0759493670886076,23.333333333333332,0.2222222222222222,0.028169014084507043,0.05,19.5
IRO,0.4444444444444444,0.4444444444444444,0.4444444444444444,23.75,0.4444444444444444,0.10810810810810811,0.17391304347826086,22.0,0.2222222222222222,0.04081632653061224,0.06896551724137931,17.5,0.4444444444444444,0.06666666666666667,0.11594202898550725,17.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.04285714285714286,0.0759493670886076,20.666666666666668,0.4444444444444444,0.056338028169014086,0.1,18.0
OIR,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.333333333333332,0.4444444444444444,0.10526315789473684,0.1702127659574468,18.75,0.2222222222222222,0.03508771929824561,0.06060606060606061,15.0,0.2222222222222222,0.031746031746031744,0.05555555555555555,13.0,0.2222222222222222,0.029850746268656716,0.052631578947368425,25.5,0.4444444444444444,0.057971014492753624,0.10256410256410256,18.75,0.5555555555555556,0.07042253521126761,0.125,12.0
ORI,0.2222222222222222,0.2,0.2105263157894737,28.5,0.1111111111111111,0.024390243902439025,0.04,26.0,0.2222222222222222,0.04081632653061224,0.06896551724137931,15.0,0.2222222222222222,0.03773584905660377,0.06451612903225806,16.0,0.4444444444444444,0.06451612903225806,0.11267605633802817,7.75,0.3333333333333333,0.04225352112676056,0.075,24.666666666666668,0.5555555555555556,0.0684931506849315,0.1219512195121951,26.0
RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.030303030303030304,0.05333333333333334,23.5,0.3333333333333333,0.04477611940298507,0.07894736842105263,20.333333333333332,0.3333333333333333,0.04285714285714286,0.0759493670886076,11.333333333333334,0.3333333333333333,0.0410958904109589,0.07317073170731707,10.666666666666666
ROI,0.8888888888888888,0.8,0.8421052631578948,24.25,0.2222222222222222,0.05405405405405406,0.08695652173913043,27.5,0.3333333333333333,0.06382978723404255,0.10714285714285714,20.0,0.2222222222222222,0.03278688524590164,0.05714285714285715,22.5,0.3333333333333333,0.04411764705882353,0.07792207792207792,19.333333333333332,0.3333333333333333,0.04285714285714286,0.0759493670886076,24.333333333333332,0.2222222222222222,0.0273972602739726,0.04878048780487805,19.5
cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.03636363636363636,0.0625,17.0,0.2222222222222222,0.03278688524590164,0.05714285714285715,20.5,0.3333333333333333,0.043478260869565216,0.07692307692307691,11.333333333333334,0.3333333333333333,0.04411764705882353,0.07792207792207792,7.666666666666667,0.2222222222222222,0.028169014084507043,0.05,16.0
cd,0.4444444444444444,0.4,0.4210526315789474,21.0,0.4444444444444444,0.11764705882352941,0.18604651162790695,21.5,0.5555555555555556,0.1,0.16949152542372883,13.4,0.2222222222222222,0.03333333333333333,0.057971014492753624,11.0,0.4444444444444444,0.05970149253731343,0.10526315789473685,10.75,0.4444444444444444,0.056338028169014086,0.1,17.75,0.4444444444444444,0.056338028169014086,0.1,17.0
cf,0.2222222222222222,0.18181818181818182,0.19999999999999998,28.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.02,0.03389830508474577,11.0,0.2222222222222222,0.031746031746031744,0.05555555555555555,15.5,0.3333333333333333,0.043478260869565216,0.07692307692307691,7.0,0.5555555555555556,0.07042253521126761,0.125,16.4,0.2222222222222222,0.028169014084507043,0.05,13.0
cm,1.0,1.0,1.0,22.22222222222222,0.5555555555555556,0.17857142857142858,0.2702702702702703,25.8,0.5555555555555556,0.10416666666666667,0.1754385964912281,20.0,0.6666666666666666,0.09836065573770492,0.1714285714285714,23.333333333333332,0.4444444444444444,0.05970149253731343,0.10526315789473685,17.0,0.3333333333333333,0.04285714285714286,0.0759493670886076,21.666666666666668,0.2222222222222222,0.027777777777777776,0.04938271604938271,20.0
